time_s,dc_voltage,estimated_ac,current,temperature,power,fault_label
0.0,15.72,12.292,0.25,38.3,3.93,NORMAL
2.0,15.55,12.079,0.25,38.7,3.888,NORMAL
4.0,15.49,11.889,0.25,37.8,3.873,NORMAL
6.0,15.66,11.997,0.24,37.2,3.758,NORMAL
8.0,15.36,11.686,0.25,37.6,3.84,NORMAL
10.0,15.94,12.088,0.25,38.0,3.985,NORMAL
12.0,15.47,11.976,0.25,37.5,3.868,NORMAL
14.0,15.46,12.144,0.25,37.7,3.865,NORMAL
16.0,15.6,11.876,0.24,38.4,3.744,NORMAL
18.0,15.65,12.082,0.24,37.4,3.756,NORMAL
20.0,15.77,12.106,0.25,37.9,3.942,NORMAL
22.0,15.25,11.9,0.25,37.8,3.812,NORMAL
24.0,15.68,12.033,0.24,38.1,3.763,NORMAL
26.0,15.44,12.02,0.25,38.5,3.86,NORMAL
28.0,15.4,11.997,0.25,38.2,3.85,NORMAL
30.0,15.49,11.802,0.25,37.5,3.873,NORMAL
32.0,15.79,12.279,0.26,38.0,4.105,NORMAL
34.0,15.68,12.265,0.25,38.2,3.92,NORMAL
36.0,15.59,12.114,0.26,36.8,4.053,NORMAL
38.0,15.62,11.798,0.25,38.0,3.905,NORMAL
40.0,15.55,11.925,0.25,38.7,3.888,NORMAL
42.0,15.41,11.927,0.25,38.4,3.853,NORMAL
44.0,15.48,12.053,0.25,38.0,3.87,NORMAL
46.0,15.44,11.735,0.25,37.8,3.86,NORMAL
48.0,15.67,12.044,0.25,38.0,3.917,NORMAL
50.0,15.27,11.695,0.25,37.8,3.817,NORMAL
52.0,15.56,12.015,0.25,38.9,3.89,NORMAL
54.0,15.66,12.062,0.25,37.1,3.915,NORMAL
56.0,15.61,12.066,0.27,37.9,4.215,NORMAL
58.0,15.59,12.106,0.24,38.5,3.742,NORMAL
60.0,15.79,11.987,0.24,38.6,3.79,NORMAL
62.0,15.74,12.053,0.26,37.5,4.092,NORMAL
64.0,15.62,12.045,0.25,37.3,3.905,NORMAL
66.0,15.35,12.029,0.25,37.6,3.837,NORMAL
68.0,15.42,11.749,0.25,38.4,3.855,NORMAL
70.0,15.65,12.08,0.26,37.3,4.069,NORMAL
72.0,15.66,11.906,0.25,37.4,3.915,NORMAL
74.0,15.72,12.149,0.25,38.1,3.93,NORMAL
76.0,15.44,11.824,0.25,38.1,3.86,NORMAL
78.0,16.04,12.415,0.25,37.5,4.01,NORMAL
80.0,15.37,11.763,0.25,38.5,3.842,NORMAL
82.0,15.83,12.416,0.25,38.4,3.958,NORMAL
84.0,15.54,11.882,0.25,37.6,3.885,NORMAL
86.0,15.58,12.108,0.25,38.1,3.895,NORMAL
88.0,15.6,12.35,0.168,37.9,2.623,NORMAL
90.0,15.75,12.187,0.24,37.5,3.78,NORMAL
92.0,15.55,11.979,0.25,38.2,3.888,NORMAL
94.0,15.4,11.983,0.24,37.8,3.696,NORMAL
96.0,15.65,12.104,0.24,38.1,3.756,NORMAL
98.0,15.39,11.738,0.25,38.0,3.848,NORMAL
100.0,15.68,12.206,0.25,38.5,3.92,NORMAL
102.0,15.28,11.857,0.24,38.2,3.667,NORMAL
104.0,15.72,12.245,0.27,38.3,4.244,NORMAL
106.0,15.82,12.271,0.25,37.9,3.955,NORMAL
108.0,15.42,11.905,0.25,37.8,3.855,NORMAL
110.0,16.14,12.204,0.24,38.3,3.874,NORMAL
112.0,15.49,11.816,0.26,38.0,4.027,NORMAL
114.0,15.43,11.928,0.25,37.7,3.857,NORMAL
116.0,15.61,12.106,0.25,39.0,3.902,NORMAL
118.0,15.13,11.79,0.25,37.7,3.783,NORMAL
120.0,15.41,11.991,0.25,38.2,3.853,NORMAL
122.0,15.046,11.555,0.25,37.8,3.761,NORMAL
124.0,16.01,12.426,0.25,37.4,4.003,NORMAL
126.0,16.1,12.316,0.26,37.3,4.186,NORMAL
128.0,15.9,12.33,0.25,38.2,3.975,NORMAL
130.0,15.38,11.745,0.25,36.5,3.845,NORMAL
132.0,15.54,11.809,0.24,38.7,3.73,NORMAL
134.0,15.5,11.78,0.25,38.7,3.875,NORMAL
136.0,15.87,12.27,0.25,37.6,3.967,NORMAL
138.0,15.65,12.012,0.25,38.0,3.913,NORMAL
140.0,15.63,11.895,0.25,38.7,3.908,NORMAL
142.0,16.1,12.449,0.24,37.9,3.864,NORMAL
144.0,15.67,12.013,0.25,37.9,3.917,NORMAL
146.0,15.46,11.841,0.26,38.2,4.02,NORMAL
148.0,15.81,12.248,0.25,38.4,3.953,NORMAL
150.0,15.41,11.961,0.25,38.3,3.853,NORMAL
152.0,15.6,11.952,0.25,38.6,3.9,NORMAL
154.0,15.73,12.248,0.25,37.9,3.933,NORMAL
156.0,15.79,12.16,0.26,38.6,4.105,NORMAL
158.0,15.76,12.12,0.25,38.1,3.94,NORMAL
160.0,15.62,12.289,0.25,37.6,3.905,NORMAL
162.0,15.36,11.947,0.24,38.5,3.686,NORMAL
164.0,15.75,12.02,0.25,38.0,3.938,NORMAL
166.0,15.62,12.019,0.25,38.4,3.905,NORMAL
168.0,15.41,11.821,0.25,38.2,3.853,NORMAL
170.0,15.41,11.828,0.25,38.1,3.853,NORMAL
172.0,15.49,11.777,0.25,37.3,3.873,NORMAL
174.0,15.43,12.078,0.25,38.1,3.857,NORMAL
176.0,15.8,12.042,0.25,38.0,3.95,NORMAL
178.0,15.6,11.923,0.25,38.1,3.9,NORMAL
180.0,15.72,12.156,0.26,38.0,4.087,NORMAL
182.0,15.76,12.137,0.25,38.1,3.94,NORMAL
184.0,15.62,12.097,0.25,38.0,3.905,NORMAL
186.0,15.94,12.169,0.26,39.0,4.144,NORMAL
188.0,15.8,12.066,0.25,39.0,3.95,NORMAL
190.0,15.4,11.819,0.25,37.0,3.85,NORMAL
192.0,15.42,12.119,0.25,38.2,3.855,NORMAL
194.0,15.82,12.238,0.25,37.6,3.955,NORMAL
196.0,15.29,11.748,0.26,38.5,3.975,NORMAL
198.0,15.2,11.885,0.26,37.9,3.952,NORMAL
200.0,15.23,11.766,0.25,38.0,3.808,NORMAL
202.0,15.49,11.928,0.25,37.5,3.873,NORMAL
204.0,15.63,11.908,0.25,38.3,3.908,NORMAL
206.0,15.24,11.68,0.26,38.2,3.962,NORMAL
208.0,15.96,12.286,0.25,38.5,3.99,NORMAL
210.0,16.08,12.482,0.26,37.9,4.181,NORMAL
212.0,15.75,12.212,0.26,37.6,4.095,NORMAL
214.0,15.85,11.951,0.24,37.5,3.804,NORMAL
216.0,15.54,11.989,0.25,38.7,3.885,NORMAL
218.0,15.98,12.285,0.24,37.2,3.835,NORMAL
220.0,15.69,12.076,0.25,37.1,3.922,NORMAL
222.0,15.29,11.692,0.25,38.2,3.822,NORMAL
224.0,15.48,12.052,0.24,38.0,3.715,NORMAL
226.0,15.37,11.766,0.25,37.8,3.842,NORMAL
228.0,15.57,11.858,0.24,37.7,3.737,NORMAL
230.0,16.06,12.374,0.25,37.7,4.015,BORDERLINE_OVERVOLTAGE
232.0,15.57,12.092,0.25,38.3,3.893,NORMAL
234.0,15.48,11.663,0.25,37.9,3.87,NORMAL
236.0,15.25,11.746,0.26,38.8,3.965,NORMAL
238.0,15.73,12.25,0.25,39.4,3.933,NORMAL
240.0,15.57,12.026,0.24,37.3,3.737,NORMAL
242.0,15.42,11.767,0.24,37.7,3.701,NORMAL
244.0,15.99,12.48,0.26,38.0,4.157,NORMAL
246.0,15.62,12.102,0.24,38.7,3.749,NORMAL
248.0,15.36,11.689,0.25,37.6,3.84,NORMAL
250.0,15.82,12.247,0.26,37.4,4.113,NORMAL
252.0,15.45,11.814,0.25,37.7,3.862,NORMAL
254.0,15.61,12.024,0.24,38.1,3.746,NORMAL
256.0,15.54,12.071,0.24,37.7,3.73,NORMAL
258.0,15.72,12.198,0.24,38.0,3.773,NORMAL
260.0,15.21,11.814,0.25,37.7,3.803,NORMAL
262.0,15.42,11.901,0.24,37.3,3.701,NORMAL
264.0,15.66,11.865,0.24,38.3,3.758,NORMAL
266.0,15.58,12.014,0.24,37.7,3.739,NORMAL
268.0,15.4,11.813,0.25,38.5,3.85,NORMAL
270.0,15.8,12.339,0.24,38.2,3.792,NORMAL
